SESSION_KEY,SESSION_DATE,MEMBER_KEY,FLAG_FIRST_TIME_VISITOR,FLAG_FIRST_TIME_BUYER,PROBABILITY_TO_TRANSACT,PREDICTED_POINTS_PURCHASED,PREDICTED_PRICE_PER_POINT,OFFER_RICHNESS_SERVED,FLAG_TRANSACTION,OFFER_RICHNESS_APPLIED,POINTS_PURCHASED,PRICE_PER_POINT,CURRENT_BALANCE,DAYS_SINCE_LAST_PURCHASE_L12M,COUNT_TRANX_L12M,LAST_OFFER_RICHNESS_SERVED_ON_PURCHASE_L12M,OFFER_RICHNESS_APPLIED_ON_LAST_PURCHASE_L12M,POINTS_PURCHASED_LAST_TRANX_L12M,DAYS_SINCE_LAST_VISIT_NO_PURCHASE
320b082d-0189-4bb6-a594-8132ea77664c,2024-09-02 13:24:20.000,-7859735175147934844,0,1,0.27180280573054993,9991.043189043348,0.015393632349912938,0.50,0,-1.0,0.0,-1.0,8246,9999,0,-1.0,-1.0,0.0,62
1300a144-c21f-4f8b-bf07-59d8204966be,2024-09-02 13:24:41.000,4271690543171708287,0,0,0.3133178648578193,9104.87507094186,0.015273397325494311,0.50,0,-1.0,0.0,-1.0,2191,16,2,0.45,0.45,4000.0,28
50a7936f-2388-42a5-8d21-03a97da21399,2024-09-02 13:25:05.000,7002743740114772682,0,1,0.6365668719106481,10707.602811814202,0.015445092148813283,0.50,0,-1.0,0.0,-1.0,11590,9999,0,-1.0,-1.0,0.0,249
f150c17d-10cb-44db-9b65-e9ac73ffdeed,2024-09-02 13:25:13.000,-9116283237754342771,0,0,0.2818018378479289,8915.331614415536,0.01609541207406413,0.45,0,-1.0,0.0,-1.0,3342,9999,0,-1.0,-1.0,0.0,45
7f08b863-2166-4424-80cf-e10b670b80b4,2024-09-02 13:25:32.000,3590765935313587807,0,1,0.5408739433848138,9636.144905111514,0.015416634123607244,0.50,1,0.5,4000.0,0.015,4427,9999,0,-1.0,-1.0,0.0,83
13c732ac-50b8-49eb-ae9f-9cbe7bb5e289,2024-09-02 13:25:34.000,2306458106041146215,1,1,0.46747468449015744,9402.844504382589,0.01585164179008097,0.45,1,0.45,6000.0,0.0165,11096,9999,0,-1.0,-1.0,0.0,9999
1427eb93-bece-4617-8109-e80cb722c060,2024-09-02 13:26:01.000,-599551233432548191,0,1,0.7781041914501479,10745.005152087706,0.015821833316181512,0.50,0,-1.0,0.0,-1.0,22485,9999,0,-1.0,-1.0,0.0,9999
f06c83a8-a5c7-456a-97b2-aca21a4bcfa5,2024-09-02 13:26:33.000,1095625968285510951,0,1,0.6539496558101081,9706.881305018302,0.015473531759074503,0.45,0,-1.0,0.0,-1.0,10164,9999,0,-1.0,-1.0,0.0,334
3216e07f-fe49-4e37-a882-e1f6fee04c6b,2024-09-02 13:26:43.000,3971548035640886253,0,0,0.09537411356370748,8261.308448909946,0.016112825554345872,0.50,0,-1.0,0.0,-1.0,53,9999,0,-1.0,-1.0,0.0,22
68766e18-0ed0-4a06-b8b0-1229cd7a65fe,2024-09-02 13:26:54.000,-7847678471806840210,0,0,0.42429268657914,8255.971481632225,0.015465471458250751,0.50,0,-1.0,0.0,-1.0,22111,9999,0,-1.0,-1.0,0.0,9999
a50dcde3-7cb9-4aa6-93f8-00e18fbb6bb1,2024-09-02 13:26:58.000,-7182658834786529928,1,1,0.08971072813597115,14512.516321965024,0.016650333597209417,0.45,0,-1.0,0.0,-1.0,0,9999,0,-1.0,-1.0,0.0,9999
84936df8-5a18-4b37-b6c3-264e0e8a0a84,2024-09-02 13:27:05.000,6244925492487997212,1,1,0.47098470611169335,9559.131904951486,0.01584096387644315,0.50,0,-1.0,0.0,-1.0,8150,9999,0,-1.0,-1.0,0.0,9999
56110a71-c2a6-4e6e-ad19-39be3cf07c96,2024-09-02 13:27:39.000,-1232487459202403448,0,0,0.390130496710989,7899.337707156093,0.01525421744673429,0.50,0,-1.0,0.0,-1.0,2333,84,2,0.5,0.5,4000.0,93
84bbc827-0ef0-4bdf-9f6d-231e7c35a284,2024-09-02 13:27:58.000,-7735678357616100000,0,0,0.32599205502365947,9284.08054550286,0.015452894698443052,0.50,0,-1.0,0.0,-1.0,22608,57,2,0.5,0.5,5000.0,17
75a651c5-aea1-4dc9-80fb-759f4964fda4,2024-09-02 13:28:06.000,-1608161656555109796,0,1,0.7483930060515801,9262.642402708165,0.015797184765989854,0.50,0,-1.0,0.0,-1.0,15839,9999,0,-1.0,-1.0,0.0,148
